ano_ref,mes_ref,mes,dia,data,turno,hora,volume
2026,2,fevereiro,3,2026-02-03,Tarde,15:00,109
2026,2,fevereiro,3,2026-02-03,Tarde,16:00,325
2026,2,fevereiro,3,2026-02-03,Tarde,17:00,290
2026,2,fevereiro,3,2026-02-03,Noite,18:00,578
2026,2,fevereiro,3,2026-02-03,Noite,19:00,250
2026,2,fevereiro,3,2026-02-03,Noite,20:00,280
2026,2,fevereiro,3,2026-02-03,Noite,22:00,149
2026,2,fevereiro,4,2026-02-04,Madrugada,00:00,109
2026,2,fevereiro,4,2026-02-04,Madrugada,01:00,149
2026,2,fevereiro,4,2026-02-04,Madrugada,02:00,1340
2026,2,fevereiro,4,2026-02-04,Madrugada,03:00,711
2026,2,fevereiro,4,2026-02-04,Madrugada,04:00,982
2026,2,fevereiro,4,2026-02-04,Madrugada,05:00,141
2026,2,fevereiro,4,2026-02-04,Manhã,09:00,139
2026,2,fevereiro,4,2026-02-04,Manhã,10:00,421
2026,2,fevereiro,4,2026-02-04,Manhã,11:00,325
2026,2,fevereiro,4,2026-02-04,Tarde,12:00,320
2026,2,fevereiro,4,2026-02-04,Tarde,13:00,149
2026,2,fevereiro,4,2026-02-04,Tarde,14:00,1945
2026,2,fevereiro,4,2026-02-04,Tarde,15:00,109
2026,2,fevereiro,4,2026-02-04,Tarde,16:00,325
2026,2,fevereiro,4,2026-02-04,Tarde,17:00,290
2026,2,fevereiro,4,2026-02-04,Noite,18:00,578
2026,2,fevereiro,4,2026-02-04,Noite,19:00,141
2026,2,fevereiro,4,2026-02-04,Noite,20:00,419
2026,2,fevereiro,4,2026-02-04,Noite,22:00,149
2026,2,fevereiro,5,2026-02-05,Madrugada,02:00,1355
2026,2,fevereiro,5,2026-02-05,Madrugada,03:00,562
2026,2,fevereiro,5,2026-02-05,Madrugada,04:00,724
2026,2,fevereiro,5,2026-02-05,Madrugada,05:00,109
2026,2,fevereiro,5,2026-02-05,Manhã,06:00,176
2026,2,fevereiro,5,2026-02-05,Manhã,09:00,139
2026,2,fevereiro,5,2026-02-05,Manhã,10:00,421
2026,2,fevereiro,5,2026-02-05,Manhã,11:00,573
2026,2,fevereiro,5,2026-02-05,Tarde,12:00,320
2026,2,fevereiro,5,2026-02-05,Tarde,13:00,149
2026,2,fevereiro,5,2026-02-05,Tarde,14:00,2057
2026,2,fevereiro,5,2026-02-05,Tarde,15:00,109
2026,2,fevereiro,5,2026-02-05,Tarde,16:00,290
2026,2,fevereiro,5,2026-02-05,Tarde,17:00,290
2026,2,fevereiro,5,2026-02-05,Noite,18:00,578
2026,2,fevereiro,5,2026-02-05,Noite,19:00,250
2026,2,fevereiro,5,2026-02-05,Noite,20:00,280
2026,2,fevereiro,5,2026-02-05,Noite,22:00,149
2026,2,fevereiro,6,2026-02-06,Madrugada,00:00,109
2026,2,fevereiro,6,2026-02-06,Madrugada,01:00,149
2026,2,fevereiro,6,2026-02-06,Madrugada,02:00,1129
2026,2,fevereiro,6,2026-02-06,Madrugada,03:00,597
2026,2,fevereiro,6,2026-02-06,Madrugada,04:00,838
2026,2,fevereiro,6,2026-02-06,Madrugada,05:00,141
2026,2,fevereiro,6,2026-02-06,Manhã,06:00,109
2026,2,fevereiro,6,2026-02-06,Manhã,09:00,139
2026,2,fevereiro,6,2026-02-06,Manhã,10:00,280
2026,2,fevereiro,6,2026-02-06,Manhã,11:00,325
2026,2,fevereiro,6,2026-02-06,Tarde,12:00,469
2026,2,fevereiro,6,2026-02-06,Tarde,14:00,2051
2026,2,fevereiro,6,2026-02-06,Tarde,15:00,109
2026,2,fevereiro,6,2026-02-06,Tarde,16:00,325
2026,2,fevereiro,6,2026-02-06,Tarde,17:00,290
2026,2,fevereiro,6,2026-02-06,Noite,18:00,578
2026,2,fevereiro,6,2026-02-06,Noite,19:00,285
2026,2,fevereiro,6,2026-02-06,Noite,20:00,315
2026,2,fevereiro,6,2026-02-06,Noite,22:00,149
2026,2,fevereiro,7,2026-02-07,Madrugada,00:00,109
2026,2,fevereiro,7,2026-02-07,Madrugada,01:00,149
2026,2,fevereiro,7,2026-02-07,Madrugada,02:00,924
2026,2,fevereiro,7,2026-02-07,Madrugada,03:00,541
2026,2,fevereiro,7,2026-02-07,Madrugada,04:00,1014
2026,2,fevereiro,7,2026-02-07,Manhã,06:00,250
2026,2,fevereiro,7,2026-02-07,Manhã,09:00,139
2026,2,fevereiro,7,2026-02-07,Manhã,10:00,139
2026,2,fevereiro,7,2026-02-07,Manhã,11:00,464
2026,2,fevereiro,7,2026-02-07,Tarde,12:00,469
2026,2,fevereiro,7,2026-02-07,Tarde,14:00,2014
2026,2,fevereiro,7,2026-02-07,Tarde,15:00,397
2026,2,fevereiro,7,2026-02-07,Tarde,16:00,325
2026,2,fevereiro,7,2026-02-07,Tarde,17:00,560
2026,2,fevereiro,7,2026-02-07,Noite,18:00,149
2026,2,fevereiro,7,2026-02-07,Noite,19:00,290
2026,2,fevereiro,7,2026-02-07,Noite,20:00,315
2026,2,fevereiro,8,2026-02-08,Madrugada,01:00,149
2026,2,fevereiro,8,2026-02-08,Madrugada,02:00,852
2026,2,fevereiro,8,2026-02-08,Madrugada,03:00,429
2026,2,fevereiro,8,2026-02-08,Madrugada,04:00,764
2026,2,fevereiro,8,2026-02-08,Madrugada,05:00,149
2026,2,fevereiro,8,2026-02-08,Manhã,06:00,250
2026,2,fevereiro,8,2026-02-08,Manhã,08:00,112
2026,2,fevereiro,8,2026-02-08,Manhã,09:00,288
2026,2,fevereiro,8,2026-02-08,Manhã,10:00,250
2026,2,fevereiro,8,2026-02-08,Manhã,11:00,176
2026,2,fevereiro,8,2026-02-08,Tarde,12:00,578
2026,2,fevereiro,8,2026-02-08,Tarde,14:00,1952
2026,2,fevereiro,8,2026-02-08,Tarde,15:00,538
2026,2,fevereiro,8,2026-02-08,Tarde,16:00,176
2026,2,fevereiro,8,2026-02-08,Tarde,17:00,858
2026,2,fevereiro,8,2026-02-08,Noite,18:00,149
2026,2,fevereiro,8,2026-02-08,Noite,19:00,141
2026,2,fevereiro,8,2026-02-08,Noite,20:00,315
2026,2,fevereiro,9,2026-02-09,Madrugada,00:00,109
2026,2,fevereiro,9,2026-02-09,Madrugada,01:00,149
2026,2,fevereiro,9,2026-02-09,Madrugada,02:00,783
2026,2,fevereiro,9,2026-02-09,Madrugada,03:00,421
2026,2,fevereiro,9,2026-02-09,Madrugada,04:00,759
2026,2,fevereiro,9,2026-02-09,Madrugada,05:00,149
2026,2,fevereiro,9,2026-02-09,Manhã,06:00,250
2026,2,fevereiro,9,2026-02-09,Manhã,09:00,139
2026,2,fevereiro,9,2026-02-09,Manhã,10:00,280
2026,2,fevereiro,9,2026-02-09,Manhã,11:00,325
2026,2,fevereiro,9,2026-02-09,Tarde,12:00,320
2026,2,fevereiro,9,2026-02-09,Tarde,13:00,149
2026,2,fevereiro,9,2026-02-09,Tarde,14:00,1670
2026,2,fevereiro,9,2026-02-09,Tarde,15:00,109
2026,2,fevereiro,9,2026-02-09,Tarde,16:00,325
2026,2,fevereiro,9,2026-02-09,Tarde,17:00,290
2026,2,fevereiro,9,2026-02-09,Noite,18:00,548
2026,2,fevereiro,9,2026-02-09,Noite,19:00,285
2026,2,fevereiro,9,2026-02-09,Noite,20:00,280
2026,2,fevereiro,9,2026-02-09,Noite,22:00,149
2026,2,fevereiro,10,2026-02-10,Madrugada,00:00,258
2026,2,fevereiro,10,2026-02-10,Madrugada,01:00,149
2026,2,fevereiro,10,2026-02-10,Madrugada,02:00,855
2026,2,fevereiro,10,2026-02-10,Madrugada,03:00,251
2026,2,fevereiro,10,2026-02-10,Madrugada,04:00,689
2026,2,fevereiro,10,2026-02-10,Manhã,06:00,250
2026,2,fevereiro,10,2026-02-10,Manhã,09:00,139
2026,2,fevereiro,10,2026-02-10,Manhã,10:00,280
2026,2,fevereiro,10,2026-02-10,Manhã,11:00,573
2026,2,fevereiro,10,2026-02-10,Tarde,12:00,469
2026,2,fevereiro,10,2026-02-10,Tarde,14:00,1910
2026,2,fevereiro,10,2026-02-10,Tarde,15:00,109
2026,2,fevereiro,10,2026-02-10,Tarde,16:00,325
2026,2,fevereiro,10,2026-02-10,Tarde,17:00,290
2026,2,fevereiro,10,2026-02-10,Noite,18:00,578
2026,2,fevereiro,10,2026-02-10,Noite,19:00,176
2026,2,fevereiro,10,2026-02-10,Noite,20:00,336
2026,2,fevereiro,10,2026-02-10,Noite,22:00,149
2026,2,fevereiro,11,2026-02-11,Madrugada,00:00,258
2026,2,fevereiro,11,2026-02-11,Madrugada,01:00,149
2026,2,fevereiro,11,2026-02-11,Madrugada,02:00,671
2026,2,fevereiro,11,2026-02-11,Madrugada,03:00,429
2026,2,fevereiro,11,2026-02-11,Madrugada,04:00,1131
2026,2,fevereiro,11,2026-02-11,Madrugada,05:00,141
2026,2,fevereiro,11,2026-02-11,Manhã,09:00,139
2026,2,fevereiro,11,2026-02-11,Manhã,10:00,250
2026,2,fevereiro,11,2026-02-11,Manhã,11:00,325
2026,2,fevereiro,11,2026-02-11,Tarde,12:00,320
2026,2,fevereiro,11,2026-02-11,Tarde,13:00,149
2026,2,fevereiro,11,2026-02-11,Tarde,14:00,1734
2026,2,fevereiro,11,2026-02-11,Tarde,15:00,109
2026,2,fevereiro,11,2026-02-11,Tarde,16:00,290
2026,2,fevereiro,11,2026-02-11,Tarde,17:00,290
2026,2,fevereiro,11,2026-02-11,Noite,18:00,578
2026,2,fevereiro,11,2026-02-11,Noite,19:00,141
2026,2,fevereiro,11,2026-02-11,Noite,20:00,454
2026,2,fevereiro,11,2026-02-11,Noite,22:00,149
2026,2,fevereiro,12,2026-02-12,Madrugada,00:00,149
2026,2,fevereiro,12,2026-02-12,Madrugada,02:00,615
2026,2,fevereiro,12,2026-02-12,Madrugada,03:00,280
2026,2,fevereiro,12,2026-02-12,Madrugada,04:00,724
2026,2,fevereiro,12,2026-02-12,Madrugada,05:00,109
2026,2,fevereiro,12,2026-02-12,Manhã,06:00,141
2026,2,fevereiro,12,2026-02-12,Manhã,09:00,139
2026,2,fevereiro,12,2026-02-12,Manhã,10:00,421
2026,2,fevereiro,12,2026-02-12,Manhã,11:00,573
2026,2,fevereiro,12,2026-02-12,Tarde,12:00,320
2026,2,fevereiro,12,2026-02-12,Tarde,13:00,149
2026,2,fevereiro,12,2026-02-12,Tarde,14:00,1875
2026,2,fevereiro,12,2026-02-12,Tarde,15:00,109
2026,2,fevereiro,12,2026-02-12,Tarde,16:00,325
2026,2,fevereiro,12,2026-02-12,Tarde,17:00,290
2026,2,fevereiro,12,2026-02-12,Noite,18:00,578
2026,2,fevereiro,12,2026-02-12,Noite,19:00,250
2026,2,fevereiro,12,2026-02-12,Noite,20:00,280
2026,2,fevereiro,12,2026-02-12,Noite,22:00,149
2026,2,fevereiro,13,2026-02-13,Madrugada,00:00,258
2026,2,fevereiro,13,2026-02-13,Madrugada,01:00,149
2026,2,fevereiro,13,2026-02-13,Madrugada,02:00,855
2026,2,fevereiro,13,2026-02-13,Madrugada,03:00,429
2026,2,fevereiro,13,2026-02-13,Madrugada,04:00,873
2026,2,fevereiro,13,2026-02-13,Madrugada,05:00,141
2026,2,fevereiro,13,2026-02-13,Manhã,06:00,109
2026,2,fevereiro,13,2026-02-13,Manhã,09:00,139
2026,2,fevereiro,13,2026-02-13,Manhã,10:00,280
2026,2,fevereiro,13,2026-02-13,Manhã,11:00,290
2026,2,fevereiro,13,2026-02-13,Tarde,12:00,298
2026,2,fevereiro,13,2026-02-13,Tarde,13:00,171
2026,2,fevereiro,13,2026-02-13,Tarde,14:00,1883
2026,2,fevereiro,13,2026-02-13,Tarde,15:00,109
2026,2,fevereiro,13,2026-02-13,Tarde,16:00,325
2026,2,fevereiro,13,2026-02-13,Tarde,17:00,290
2026,2,fevereiro,13,2026-02-13,Noite,18:00,578
2026,2,fevereiro,13,2026-02-13,Noite,19:00,250
2026,2,fevereiro,13,2026-02-13,Noite,20:00,315
2026,2,fevereiro,13,2026-02-13,Noite,21:00,149
2026,2,fevereiro,14,2026-02-14,Madrugada,00:00,258
2026,2,fevereiro,14,2026-02-14,Madrugada,01:00,258
2026,2,fevereiro,14,2026-02-14,Madrugada,02:00,431
2026,2,fevereiro,14,2026-02-14,Madrugada,03:00,400
2026,2,fevereiro,14,2026-02-14,Madrugada,04:00,838
2026,2,fevereiro,14,2026-02-14,Manhã,06:00,250
2026,2,fevereiro,14,2026-02-14,Manhã,09:00,139
2026,2,fevereiro,14,2026-02-14,Manhã,10:00,139
2026,2,fevereiro,14,2026-02-14,Manhã,11:00,325
2026,2,fevereiro,14,2026-02-14,Tarde,12:00,469
2026,2,fevereiro,14,2026-02-14,Tarde,14:00,1832
2026,2,fevereiro,14,2026-02-14,Tarde,15:00,397
2026,2,fevereiro,14,2026-02-14,Tarde,16:00,325
2026,2,fevereiro,14,2026-02-14,Tarde,17:00,531
2026,2,fevereiro,14,2026-02-14,Noite,18:00,149
2026,2,fevereiro,14,2026-02-14,Noite,19:00,325
2026,2,fevereiro,14,2026-02-14,Noite,20:00,315
2026,2,fevereiro,15,2026-02-15,Madrugada,01:00,149
2026,2,fevereiro,15,2026-02-15,Madrugada,02:00,426
2026,2,fevereiro,15,2026-02-15,Madrugada,03:00,437
2026,2,fevereiro,15,2026-02-15,Madrugada,04:00,729
2026,2,fevereiro,15,2026-02-15,Madrugada,05:00,149
2026,2,fevereiro,15,2026-02-15,Manhã,06:00,250
2026,2,fevereiro,15,2026-02-15,Manhã,08:00,141
2026,2,fevereiro,15,2026-02-15,Manhã,09:00,139
2026,2,fevereiro,15,2026-02-15,Manhã,10:00,250
2026,2,fevereiro,15,2026-02-15,Manhã,11:00,176
2026,2,fevereiro,15,2026-02-15,Tarde,12:00,429
2026,2,fevereiro,15,2026-02-15,Tarde,14:00,1875
2026,2,fevereiro,15,2026-02-15,Tarde,15:00,429
2026,2,fevereiro,15,2026-02-15,Tarde,16:00,176
2026,2,fevereiro,15,2026-02-15,Tarde,17:00,560
2026,2,fevereiro,15,2026-02-15,Noite,18:00,149
2026,2,fevereiro,15,2026-02-15,Noite,19:00,141
2026,2,fevereiro,15,2026-02-15,Noite,20:00,315
2026,2,fevereiro,16,2026-02-16,Madrugada,02:00,431
2026,2,fevereiro,16,2026-02-16,Madrugada,03:00,251
2026,2,fevereiro,16,2026-02-16,Madrugada,04:00,583
2026,2,fevereiro,16,2026-02-16,Manhã,06:00,285
2026,2,fevereiro,16,2026-02-16,Manhã,09:00,139
2026,2,fevereiro,16,2026-02-16,Manhã,10:00,280
2026,2,fevereiro,16,2026-02-16,Manhã,11:00,325
2026,2,fevereiro,16,2026-02-16,Tarde,12:00,171
2026,2,fevereiro,16,2026-02-16,Tarde,14:00,1558
2026,2,fevereiro,16,2026-02-16,Tarde,15:00,109
2026,2,fevereiro,16,2026-02-16,Tarde,16:00,325
2026,2,fevereiro,16,2026-02-16,Tarde,17:00,141
2026,2,fevereiro,16,2026-02-16,Noite,18:00,578
2026,2,fevereiro,16,2026-02-16,Noite,19:00,250
2026,2,fevereiro,16,2026-02-16,Noite,20:00,315
2026,2,fevereiro,17,2026-02-17,Madrugada,01:00,149
2026,2,fevereiro,17,2026-02-17,Madrugada,02:00,530
2026,2,fevereiro,17,2026-02-17,Madrugada,03:00,280
2026,2,fevereiro,17,2026-02-17,Madrugada,04:00,724
2026,2,fevereiro,17,2026-02-17,Manhã,06:00,250
2026,2,fevereiro,17,2026-02-17,Manhã,09:00,139
2026,2,fevereiro,17,2026-02-17,Manhã,10:00,280
2026,2,fevereiro,17,2026-02-17,Manhã,11:00,397
2026,2,fevereiro,17,2026-02-17,Tarde,12:00,469
2026,2,fevereiro,17,2026-02-17,Tarde,14:00,1840
2026,2,fevereiro,17,2026-02-17,Tarde,15:00,109
2026,2,fevereiro,17,2026-02-17,Tarde,16:00,325
2026,2,fevereiro,17,2026-02-17,Tarde,17:00,290
2026,2,fevereiro,17,2026-02-17,Noite,18:00,578
2026,2,fevereiro,17,2026-02-17,Noite,19:00,250
2026,2,fevereiro,17,2026-02-17,Noite,20:00,280
2026,2,fevereiro,17,2026-02-17,Noite,22:00,149
2026,2,fevereiro,18,2026-02-18,Madrugada,00:00,109
2026,2,fevereiro,18,2026-02-18,Madrugada,01:00,149
2026,2,fevereiro,18,2026-02-18,Madrugada,02:00,741
2026,2,fevereiro,18,2026-02-18,Madrugada,03:00,578
2026,2,fevereiro,18,2026-02-18,Madrugada,04:00,982
2026,2,fevereiro,18,2026-02-18,Madrugada,05:00,149
2026,2,fevereiro,18,2026-02-18,Manhã,09:00,139
2026,2,fevereiro,18,2026-02-18,Manhã,10:00,280
2026,2,fevereiro,18,2026-02-18,Manhã,11:00,290
2026,2,fevereiro,18,2026-02-18,Tarde,12:00,320
2026,2,fevereiro,18,2026-02-18,Tarde,13:00,149
2026,2,fevereiro,18,2026-02-18,Tarde,14:00,1734
2026,2,fevereiro,18,2026-02-18,Tarde,15:00,109
2026,2,fevereiro,18,2026-02-18,Tarde,16:00,290
2026,2,fevereiro,18,2026-02-18,Tarde,17:00,290
2026,2,fevereiro,18,2026-02-18,Noite,18:00,578
2026,2,fevereiro,18,2026-02-18,Noite,19:00,141
2026,2,fevereiro,18,2026-02-18,Noite,20:00,419
2026,2,fevereiro,18,2026-02-18,Noite,22:00,149
